,Buy,Sell,Type
0,2000-04-20T00:00:00.000000000,2000-04-23T00:00:00.000000000,1
1,2000-04-23T00:00:00.000000000,2000-04-26T00:00:00.000000000,1
2,2000-04-30T00:00:00.000000000,2000-05-03T00:00:00.000000000,1
3,2000-10-02T00:00:00.000000000,2000-10-05T00:00:00.000000000,1
4,2000-12-24T00:00:00.000000000,2000-12-27T00:00:00.000000000,1
5,2000-12-25T00:00:00.000000000,2000-12-28T00:00:00.000000000,1
6,2000-12-31T00:00:00.000000000,2001-01-03T00:00:00.000000000,1
7,2001-04-12T00:00:00.000000000,2001-04-15T00:00:00.000000000,1
8,2001-04-15T00:00:00.000000000,2001-04-18T00:00:00.000000000,1
9,2001-04-30T00:00:00.000000000,2001-05-03T00:00:00.000000000,1
10,2001-12-23T00:00:00.000000000,2001-12-26T00:00:00.000000000,1
11,2001-12-24T00:00:00.000000000,2001-12-27T00:00:00.000000000,1
12,2001-12-25T00:00:00.000000000,2001-12-28T00:00:00.000000000,1
13,2001-12-30T00:00:00.000000000,2002-01-02T00:00:00.000000000,1
14,2001-12-31T00:00:00.000000000,2002-01-03T00:00:00.000000000,1
15,2002-03-28T00:00:00.000000000,2002-03-31T00:00:00.000000000,1
16,2002-03-31T00:00:00.000000000,2002-04-03T00:00:00.000000000,1
17,2002-04-30T00:00:00.000000000,2002-05-03T00:00:00.000000000,1
18,2002-12-23T00:00:00.000000000,2002-12-26T00:00:00.000000000,1
19,2002-12-24T00:00:00.000000000,2002-12-27T00:00:00.000000000,1
20,2002-12-25T00:00:00.000000000,2002-12-28T00:00:00.000000000,1
21,2002-12-30T00:00:00.000000000,2003-01-02T00:00:00.000000000,1
22,2002-12-31T00:00:00.000000000,2003-01-03T00:00:00.000000000,1
23,2003-04-17T00:00:00.000000000,2003-04-20T00:00:00.000000000,1
24,2003-04-20T00:00:00.000000000,2003-04-23T00:00:00.000000000,1
25,2003-04-30T00:00:00.000000000,2003-05-03T00:00:00.000000000,1
26,2003-12-23T00:00:00.000000000,2003-12-26T00:00:00.000000000,1
27,2003-12-24T00:00:00.000000000,2003-12-27T00:00:00.000000000,1
28,2003-12-25T00:00:00.000000000,2003-12-28T00:00:00.000000000,1
29,2003-12-30T00:00:00.000000000,2004-01-02T00:00:00.000000000,1
30,2003-12-31T00:00:00.000000000,2004-01-03T00:00:00.000000000,1
31,2004-04-08T00:00:00.000000000,2004-04-11T00:00:00.000000000,1
32,2004-04-11T00:00:00.000000000,2004-04-14T00:00:00.000000000,1
33,2004-12-23T00:00:00.000000000,2004-12-26T00:00:00.000000000,1
34,2004-12-30T00:00:00.000000000,2005-01-02T00:00:00.000000000,1
35,2005-03-24T00:00:00.000000000,2005-03-27T00:00:00.000000000,1
36,2005-03-27T00:00:00.000000000,2005-03-30T00:00:00.000000000,1
37,2005-12-25T00:00:00.000000000,2005-12-28T00:00:00.000000000,1
38,2006-04-13T00:00:00.000000000,2006-04-16T00:00:00.000000000,1
39,2006-04-16T00:00:00.000000000,2006-04-19T00:00:00.000000000,1
40,2006-04-30T00:00:00.000000000,2006-05-03T00:00:00.000000000,1
41,2006-12-24T00:00:00.000000000,2006-12-27T00:00:00.000000000,1
42,2006-12-25T00:00:00.000000000,2006-12-28T00:00:00.000000000,1
43,2006-12-31T00:00:00.000000000,2007-01-03T00:00:00.000000000,1
44,2007-04-05T00:00:00.000000000,2007-04-08T00:00:00.000000000,1
45,2007-04-08T00:00:00.000000000,2007-04-11T00:00:00.000000000,1
46,2007-04-30T00:00:00.000000000,2007-05-03T00:00:00.000000000,1
47,2007-05-27T00:00:00.000000000,2007-05-30T00:00:00.000000000,1
48,2007-12-23T00:00:00.000000000,2007-12-26T00:00:00.000000000,1
49,2007-12-24T00:00:00.000000000,2007-12-27T00:00:00.000000000,1
50,2007-12-25T00:00:00.000000000,2007-12-28T00:00:00.000000000,1
51,2007-12-30T00:00:00.000000000,2008-01-02T00:00:00.000000000,1
52,2007-12-31T00:00:00.000000000,2008-01-03T00:00:00.000000000,1
53,2008-03-20T00:00:00.000000000,2008-03-23T00:00:00.000000000,1
54,2008-03-23T00:00:00.000000000,2008-03-26T00:00:00.000000000,1
55,2008-04-30T00:00:00.000000000,2008-05-03T00:00:00.000000000,1
56,2008-12-23T00:00:00.000000000,2008-12-26T00:00:00.000000000,1
57,2008-12-24T00:00:00.000000000,2008-12-27T00:00:00.000000000,1
58,2008-12-25T00:00:00.000000000,2008-12-28T00:00:00.000000000,1
59,2008-12-30T00:00:00.000000000,2009-01-02T00:00:00.000000000,1
60,2008-12-31T00:00:00.000000000,2009-01-03T00:00:00.000000000,1
61,2009-04-09T00:00:00.000000000,2009-04-12T00:00:00.000000000,1
62,2009-04-12T00:00:00.000000000,2009-04-15T00:00:00.000000000,1
63,2009-04-30T00:00:00.000000000,2009-05-03T00:00:00.000000000,1
64,2009-12-23T00:00:00.000000000,2009-12-26T00:00:00.000000000,1
65,2009-12-24T00:00:00.000000000,2009-12-27T00:00:00.000000000,1
66,2009-12-30T00:00:00.000000000,2010-01-02T00:00:00.000000000,1
67,2009-12-31T00:00:00.000000000,2010-01-03T00:00:00.000000000,1
68,2010-04-01T00:00:00.000000000,2010-04-04T00:00:00.000000000,1
69,2010-04-04T00:00:00.000000000,2010-04-07T00:00:00.000000000,1
70,2010-12-23T00:00:00.000000000,2010-12-26T00:00:00.000000000,1
71,2010-12-30T00:00:00.000000000,2011-01-02T00:00:00.000000000,1
72,2011-04-21T00:00:00.000000000,2011-04-24T00:00:00.000000000,1
73,2011-04-24T00:00:00.000000000,2011-04-27T00:00:00.000000000,1
74,2011-10-02T00:00:00.000000000,2011-10-05T00:00:00.000000000,1
75,2011-12-25T00:00:00.000000000,2011-12-28T00:00:00.000000000,1
76,2012-04-05T00:00:00.000000000,2012-04-08T00:00:00.000000000,1
77,2012-04-08T00:00:00.000000000,2012-04-11T00:00:00.000000000,1
78,2012-04-30T00:00:00.000000000,2012-05-03T00:00:00.000000000,1
79,2012-10-02T00:00:00.000000000,2012-10-05T00:00:00.000000000,1
80,2012-12-23T00:00:00.000000000,2012-12-26T00:00:00.000000000,1
81,2012-12-24T00:00:00.000000000,2012-12-27T00:00:00.000000000,1
82,2012-12-25T00:00:00.000000000,2012-12-28T00:00:00.000000000,1
83,2012-12-30T00:00:00.000000000,2013-01-02T00:00:00.000000000,1
84,2012-12-31T00:00:00.000000000,2013-01-03T00:00:00.000000000,1
85,2013-03-28T00:00:00.000000000,2013-03-31T00:00:00.000000000,1
